skuid,descr,datedue,dateordered,qtyprinted,qtyordered,priority,notes,imps,printstack
WHB-S,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",50,50,2,,296,15
AUH-S,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",50,50,3,,348,15
FIX-2-SB,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",50,50,1,,130,35
MHW-S,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",50,50,5,,312,17
USH-S,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",50,50,239,,304,15
SIMP-B,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",100,100,0,,107,45
FIX-1,WTS,"2017-08-24 00:00:00","2017-08-24 00:00:00",50,50,1,,230,25
WTW-S,"WTS - CBD","2017-08-25 00:00:00","2017-08-25 00:00:00",70,70,242,,198,30
FIX-4,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",50,50,7,,264,22
FIX-4-SB,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",50,50,7,,128,45
FN1-S,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",50,50,8,,254,22
FIX-6-SB,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",50,50,8,,132,35
FN2-S,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",30,30,9,,262,23
FIX-3-SB,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",50,50,10,,130,40
FIX-1-SB,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",35,35,1,,128,40
LDP-SB,WTS,"2017-08-28 00:00:00","2017-08-25 00:00:00",30,30,1,,176,34
SIMP-C,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",100,100,20,,105,45
USH-T,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",30,30,1,,277,20
USH-T,"WTS - CBD","2017-08-25 00:00:00","2017-08-25 00:00:00",20,20,1,,277,20
WHB-S,WTS,"2017-08-25 00:00:00","2017-08-25 00:00:00",30,30,5,,296,15
WHB-T,WTS,"2017-08-28 00:00:00","2017-08-25 00:00:00",30,30,255,,268,18
WRP-S,"WTS - Rainbow","2017-08-29 00:00:00","2017-08-25 00:00:00",25,25,300,,242,25
"EIS-TB e2p1",WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,20,"50 yields 100 books.",138,35
EIS-LCO,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,22,"50 yields 100 sets.",96,20
PZ-ZCO,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",28,28,24,"28 yields 252 sets of cards.",96,24
FIX-2,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",75,75,0,,258,22
FIX-1,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",75,75,1,,230,25
FIX-3,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,235,,262,22
SIMP-A,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",100,100,10,,113,45
FIX-5-SB,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,269,,132,35
TEE-S,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,12,,148,35
"TEE-T ",WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",30,30,13,,103,50
SICC-C-SB,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,305,,188,30
FIX-2-SB,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,0,,130,35
LDP-T,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,3,,206,25
NC-GS-H,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",30,30,5,,352,17
FMF-TB,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",30,30,2,,273,20
AUH-S,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",30,30,25,,348,15
TTC-T,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",50,50,345,,123,45
SWP-B-BL,WTS,"2017-08-29 00:00:00","2017-08-25 00:00:00",30,30,1,,186,30
USH-T,WTS,"2017-08-28 00:00:00","2017-08-28 00:00:00",50,50,2,,277,20
SRP-S,"WTS - ASAP","2017-08-28 00:00:00","2017-08-28 00:00:00",100,100,0,,174,30
SWP-P2-P,WTS,"2017-08-28 00:00:00","2017-08-28 00:00:00",20,20,0,,300,10
"SW2 Tabs",WTS,"2017-08-28 00:00:00","2017-08-28 00:00:00",200,200,237,,12,104
"SIM Tabs",WTS,"2017-08-28 00:00:00","2017-08-28 00:00:00",924,924,238,,5,250
"NC-GS-H Tabs",WTS,"2017-08-28 00:00:00","2017-08-28 00:00:00",100,100,238,,8,600
FMF-S,WTS,"2017-08-29 00:00:00","2017-08-29 00:00:00",50,50,1,,280,20
SIMP-B,WTS,"2017-08-29 00:00:00","2017-08-29 00:00:00",100,100,9,,107,45
USH-S,"WTS - CBD","2017-08-30 00:00:00","2017-08-30 00:00:00",100,100,1,,304,15
SRN-B,WTS,"2017-08-30 00:00:00","2017-08-30 00:00:00",50,50,1,,126,35
MHW-S,WTS,"2017-08-30 00:00:00","2017-08-30 00:00:00",50,50,1,,312,17
WTW-S,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,2,,198,30
FIX-1,WTS,"2017-08-30 00:00:00","2017-08-30 00:00:00",50,50,30,,230,25
FIX-2-SB,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,35,,130,35
FIX-2,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,40,,258,22
FIX-3,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,45,,262,22
FIX-4,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",30,30,50,,264,22
FN1-S,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,55,,254,22
FN1-T,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",30,30,60,,254,20
MHW-T,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",30,30,65,,285,20
USH-T,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",150,150,1,,277,20
"AHW-S (old)","WTS - Rainbow","2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,300,,300,18
AFF-S,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,305,,169,30
BFG-B,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",31,30,20,,84,70
FIX-3-SB,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,315,,130,40
FIX-5,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",30,30,320,,266,22
FMF-S,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",50,50,1,,280,20
LDP-SB,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",30,30,330,,176,34
SIMP-B,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",100,100,2,,107,45
WRP-S,WTS,"2017-08-31 00:00:00","2017-08-30 00:00:00",30,30,340,,242,25
SRP-S,"WTS - CC","2017-09-12 00:00:00","2017-08-30 00:00:00",250,250,0,,174,30
USH-S,"WTS - CC","2017-09-01 00:00:00","2017-08-30 00:00:00",250,250,360,,304,15
USH-T,"WTS - CC","2017-09-01 00:00:00","2017-08-30 00:00:00",250,250,370,,277,20
USH-S,WTS,"2017-08-31 00:00:00","2017-08-31 00:00:00",150,150,1,,304,15
SW2,WTS,"2017-08-31 00:00:00","2017-08-31 00:00:00",100,100,2,,240,25
PAL-RT,WTS,"2017-08-31 00:00:00","2017-08-31 00:00:00",30,30,296,,169,20
PAL-WT,WTS,"2017-08-31 00:00:00","2017-08-31 00:00:00",30,30,296,,206,25
"AHW-S (old)",WTS,"2017-08-31 00:00:00","2017-08-31 00:00:00",30,30,35,,300,18
NC-GS-M,WTS,"2017-09-01 00:00:00","2017-08-31 00:00:00",30,30,60,,440,13
BH-S,WTS,"2017-09-01 00:00:00","2017-09-01 00:00:00",50,50,1,,224,18
SRP-S,WTS,"2017-09-01 00:00:00","2017-09-01 00:00:00",50,50,1,,174,30
FIX-1,WTS,"2017-09-01 00:00:00","2017-09-01 00:00:00",30,30,299,,230,25
USH-S-VC,"WTS - 2 Man Proof against Student book","2017-09-01 00:00:00","2017-09-01 00:00:00",30,30,2,,36,100
FIX-1-SB,WTS,"2017-09-01 00:00:00","2017-09-01 00:00:00",50,50,0,,128,40
FIX-2-SB,"WTS - ASAP","2017-09-01 00:00:00","2017-09-01 00:00:00",60,60,0,,130,35
MHW-S,"WTS - ASAP","2017-09-01 00:00:00","2017-09-01 00:00:00",50,50,0,,312,17
FN1-S,"WTS - ASAP","2017-09-01 00:00:00","2017-09-01 00:00:00",50,50,0,,254,22
SIMP-A,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",100,100,3,,113,45
USH-S,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",50,50,7,,304,15
USH-T,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",50,50,9,,277,20
MHW-T,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,15,,285,20
FIX-5,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,17,,266,22
TEE-S,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",50,50,21,,148,35
"TEE-T ",WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",32,30,25,,103,50
WTW-S,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",50,50,30,,198,30
WTW-T,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",52,30,35,,139,30
FN1-T,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,40,,254,20
FN2-S,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,45,,262,23
FIX-4-SB,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,50,,128,45
NC-GS-H,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,55,,352,17
WHB-S,"WTS - Rainbow","2017-09-05 00:00:00","2017-09-01 00:00:00",40,40,300,,296,15
SRN-B,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,300,,126,35
FIX-1,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",50,50,310,,230,25
FIX-2,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",50,50,302,,258,22
LDP-T,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,325,,206,25
WHB-T,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,327,,268,18
AFF-TB,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,340,,82,30
EIL-3,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,345,,168,35
EIL-4,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,345,,166,35
LTL-S,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",30,30,345,,87,50
MFI-B-TB,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",20,20,348,,304,20
MFI-C-TB,WTS,"2017-09-05 00:00:00","2017-09-01 00:00:00",20,20,348,,406,15
EIS-LCO,WTS,"2017-09-05 00:00:00","2017-09-05 00:00:00",100,100,5,"100 yields 200 sets.",96,20
FIX-2,"WTS - Rainbow","2017-09-05 00:00:00","2017-09-05 00:00:00",50,50,301,,258,22
FIX-1-SB,"WTS - Rainbow","2017-09-06 00:00:00","2017-09-06 00:00:00",50,50,1,,128,40
USH-S,"WTS - Rainbow","2017-09-06 00:00:00","2017-09-06 00:00:00",60,60,1,,304,15
"AHW-S (old)",WTS,"2017-09-06 00:00:00","2017-09-06 00:00:00",5,5,0,,300,18
FIX-2-SB,"WTS - Rainbow","2017-09-06 00:00:00","2017-09-06 00:00:00",50,50,3,,130,35
SRP-S,WTS,"2017-09-12 00:00:00","2017-09-06 00:00:00",100,100,0,"Covers due to arrive Monday, September 11th.
",174,30
WHB-S,"WTS - Rainbow","2017-09-07 00:00:00","2017-09-06 00:00:00",25,25,4,,296,15
AFF-S,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",50,50,1,,169,30
FIX-3,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",50,50,0,,262,22
SIMP-B,"WTS - Need 6 for this afternoon","2017-09-07 00:00:00","2017-09-07 00:00:00",100,100,0,,107,45
FMF-S,WTS,"2017-09-11 00:00:00","2017-09-07 00:00:00",100,100,200,"Covers due to arrive Monday, September 11th.",280,20
SIMP-A,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",100,100,10,,113,45
FIX-4,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",50,50,7,,264,22
SME-PA-L1-B,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",25,25,3,,15,20
USH-S,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",200,200,9,,304,15
WHB-S,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",50,50,1,,296,15
FIX-1-SB,"WTS - Need 1 book for Rainbow today","2017-09-07 00:00:00","2017-09-07 00:00:00",100,100,0,,128,40
MHW-S,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",50,50,12,,312,17
SRN-B,WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",50,50,0,,126,35
"EIS-TB e2p1",WTS,"2017-09-07 00:00:00","2017-09-07 00:00:00",100,100,1,"100 yields 200 books.",138,35
USH-T,WTS,"2017-09-11 00:00:00","2017-09-07 00:00:00",50,50,20,,277,20
"TLC ",WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",50,50,1,,121,22
HSE-S-P,"WTS - Ship this afternoon","2017-09-08 00:00:00","2017-09-08 00:00:00",100,100,0,,28,200
FIX-4,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",30,30,5,,264,22
FIX-1,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",100,100,5,,230,25
FN1-S,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",100,100,6,,254,22
AUH-S,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",50,50,10,,348,15
FIX-1-SB,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",100,100,14,,128,40
FIX-2-SB,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",100,100,12,,130,35
FIX-3,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",50,50,16,,262,22
FIX-4-SB,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",50,50,8,,128,45
MFI-A-TB,WTS,"2017-09-08 00:00:00","2017-09-08 00:00:00",20,20,18,,254,20
SIMP-C,WTS,"2017-09-11 00:00:00","2017-09-08 00:00:00",100,100,2,,105,45
SIMP-B,WTS,"2017-09-11 00:00:00","2017-09-08 00:00:00",100,100,2,,107,45
"AHW-S (old)","WTS - Print without front cover","2017-09-11 00:00:00","2017-09-11 00:00:00",100,100,5,,300,18
WHB-S,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",50,50,5,,296,15
NC-GS-H,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,10,,352,17
DDD-B,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,15,,120,50
FIX-3-SB,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",50,50,20,,130,40
RRR-S,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",50,50,25,,192,30
TEE-S,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",50,50,30,,148,35
FIX-2,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",100,100,35,,258,22
BH-TB,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,40,,124,50
"TEE-T ",WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,45,,103,50
FN1-T,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,50,,254,20
FMF-TB,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,55,,273,20
AUH-T,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",30,30,60,,317,18
WTW-S,WTS,"2017-09-11 00:00:00","2017-09-11 00:00:00",50,50,65,,198,30
SWP-P1-P,WTS,"2017-09-12 00:00:00","2017-09-11 00:00:00",20,20,70,,223,12
PLS-BL,WTS,"2017-09-12 00:00:00","2017-09-11 00:00:00",30,30,75,,245,25
PPC-S,WTS,"2017-09-12 00:00:00","2017-09-12 00:00:00",300,300,5,,252,24
PPC-T,WTS,"2017-09-12 00:00:00","2017-09-12 00:00:00",100,100,5,,242,25
SRP-S,WTS,"2017-09-12 00:00:00","2017-09-12 00:00:00",200,200,1,,174,30
PPC-S,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,5,,252,24
SRH-BL,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",30,30,4,,63,40
AFF-S,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,4,,169,30
SW2,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",100,100,0,,240,25
SIMP-B,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",100,100,20,,107,45
SIMP-A,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",100,100,25,,113,45
SIMP-C,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,30,,105,45
BH-S,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,35,,224,18
FIX-3,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,40,,262,22
PAL-RT,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",30,30,45,,169,20
FIX-2-SB,WTS,"2017-09-15 00:00:00","2017-09-12 00:00:00",100,100,5,,130,35
FIX-1,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",100,100,55,,230,25
"AHW-S (old)",WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,60,,300,18
SRN-B,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,65,,126,35
FMF-S,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,70,,280,20
USH-S,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",100,100,75,,304,15
WHB-S,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,80,,296,15
WHB-T,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",30,30,81,,268,18
BFG-B,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,85,,84,70
PAL-WT,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",50,50,90,,206,25
WSP-BL,WTS,"2017-09-13 00:00:00","2017-09-12 00:00:00",30,30,95,,301,20
SLA-WB,WTS,"2017-09-14 00:00:00","2017-09-14 00:00:00",50,50,1,,170,35
LTW-SW1,WTS,"2017-09-18 00:00:00","2017-09-14 00:00:00",500,500,100,,154,35
LTW-TG1,WTS,"2017-09-18 00:00:00","2017-09-14 00:00:00",200,200,4,"Balance of covers due to arrive on Tuesday, Sept. 19.",362,15
NC-GS-PG,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",30,30,1,,183,32
NC-GS-H,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",30,30,5,,352,17
NC-GS-M,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",30,30,5,,440,13
"NC-GS-M Tabs",WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",100,100,10,,10,600
"NC-GS-H Tabs",WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",100,100,12,,8,600
BH-S,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",50,50,15,,224,18
FIX-1-SB,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",50,50,96,,128,40
MHW-S,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",50,50,97,,312,17
PPC-S,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",50,50,13,,252,24
PPC-T,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",30,30,14,,242,25
USH-T,WTS,"2017-09-15 00:00:00","2017-09-15 00:00:00",50,50,77,,277,20
FIX-3-SB,WTS,"2017-09-18 00:00:00","2017-09-18 00:00:00",50,50,5,,130,40
LDP-SB,WTS,"2017-09-18 00:00:00","2017-09-18 00:00:00",50,50,5,,176,34
CS-A,WTS,"2017-09-18 00:00:00","2017-09-18 00:00:00",30,30,5,,345,15
CS-B,WTS,"2017-09-18 00:00:00","2017-09-18 00:00:00",30,30,6,,338,10
PZ-ZCO,WTS,"2017-09-18 00:00:00","2017-09-18 00:00:00",30,30,10,"30 yields 270 sets of cards.",96,24
ACS-B,WTS,"2017-09-18 00:00:00","2017-09-18 00:00:00",50,50,15,,164,30
FIX-2-SB,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,20,,130,35
NC-GS-H,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",30,30,25,,352,17
"AHW-S (old)",WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",30,30,30,,300,18
USH-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,22,,304,15
WTW-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,35,,198,30
FIX-3,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",52,50,40,,262,22
FIX-5,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",72,50,45,,266,22
AFF-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,50,,169,30
FN1-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",50,50,55,,254,22
TEE-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,1,,148,35
AUH-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",50,50,65,,348,15
FMF-S,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",50,50,70,,280,20
FIX-2,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,75,,258,22
SW2,WTS,"2017-09-19 00:00:00","2017-09-18 00:00:00",100,100,7,,240,25
SRN-B,WTS,"2017-09-19 00:00:00","2017-09-19 00:00:00",50,50,1,,126,35
BSS,WTS,"2017-09-19 00:00:00","2017-09-19 00:00:00",40,40,35,,317,15
RRW-H_v2,WTS,"2017-09-19 00:00:00","2017-09-19 00:00:00",100,100,11,,3,150
PW-SEP-IL,WTS,"2017-09-19 00:00:00","2017-09-19 00:00:00",500,500,9,,1,500
CS-P2,WTS,"2017-09-19 00:00:00","2017-09-19 00:00:00",20,20,1,,327,18
SW2,WTS,"2017-09-21 00:00:00","2017-09-20 00:00:00",500,500,80,,240,25
FIX-1,"Stock - Palletize","2017-09-29 00:00:00","2017-09-21 00:00:00",1440,1440,200,,230,25
HSE-S-P,WTS,"2017-09-21 00:00:00","2017-09-21 00:00:00",100,100,3,,28,200
EIL-3,WTS,"2017-09-21 00:00:00","2017-09-21 00:00:00",30,30,2,,168,35
EIS-LCO,WTS,"2017-09-22 00:00:00","2017-09-21 00:00:00",100,100,5,"100 yields 200 sets.
",96,20
SWP-A-BL,WTS,"2017-09-21 00:00:00","2017-09-21 00:00:00",30,30,1,,194,30
CS-P1,WTS,"2017-09-22 00:00:00","2017-09-22 00:00:00",20,20,1,,329,18
PPW-H,WTS,"2017-09-22 00:00:00","2017-09-22 00:00:00",75,75,1,,4,100
"PAL-RS Readers (pack",WTS,"2017-09-22 00:00:00","2017-09-22 00:00:00",31,31,0,,60,100
PAL-RSB1,WTS,"2017-09-22 00:00:00","2017-09-22 00:00:00",30,30,5,,103,30
PAL-RSB2,WTS,"2017-09-22 00:00:00","2017-09-22 00:00:00",30,30,5,,108,30
PAL-WSB,WTS,"2017-09-22 00:00:00","2017-09-22 00:00:00",30,30,0,,274,20
SIMP-B,WTS,"2017-09-25 00:00:00","2017-09-22 00:00:00",200,200,1,,107,45
SIMP-A,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",200,200,2,,113,45
FIX-1-SB,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",200,200,3,,128,40
USH-T,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",50,50,10,,277,20
WHB-S,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",50,50,15,,296,15
"TEE-T ",WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",50,50,20,,103,50
CS-P2,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",20,20,25,,327,18
RRR-TB,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",30,30,30,,196,28
MHW-S,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",50,50,35,,312,17
FIX-6-SB,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",30,30,40,,132,35
LDP-T,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",50,50,45,,206,25
SICC-A-SB,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",50,50,50,,162,30
SIMP-C,WTS,"2017-09-25 00:00:00","2017-09-25 00:00:00",100,100,55,,105,45
"SWI - Quick Start","Low Stock","2017-09-27 00:00:00","2017-09-25 00:00:00",1000,1000,100,,1,500
"EIS-TB e2p1","Low Stock","2017-09-27 00:00:00","2017-09-25 00:00:00",100,100,100,"100 yields 200 books.
",138,35
"AHW-T (old)",WTS,"2017-09-27 00:00:00","2017-09-26 00:00:00",30,30,60,,273,20
SIMP-A,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",150,150,5,,113,45
SIMP-B,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",200,200,5,,107,45
FIX-2,"Stock - Palletize","2017-09-29 00:00:00","2017-09-27 00:00:00",1440,1440,14,,258,22
SRN-B,WTS,"2017-09-27 00:00:00","2017-09-27 00:00:00",100,100,1,,126,35
PAL-RT,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",50,50,5,,169,20
USH-S,"Use pre-punched covers","2017-09-27 00:00:00","2017-09-27 00:00:00",100,100,10,,304,15
USH-T,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",50,50,15,,277,20
FN2-S,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",35,35,20,,262,23
FIX-3,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",120,120,25,,262,22
WRP-S,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",50,50,30,,242,25
WRP-T,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",30,30,35,,192,30
MHW-T,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",100,100,40,,285,20
TTC-T,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",50,50,45,,123,45
SICC-B-TB,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",30,30,5,,168,30
LTL-S,"Low Stock","2017-09-27 00:00:00","2017-09-27 00:00:00",69,69,55,"Ran out of back covers.",87,50
PAL-RSB1,"Low Stock","2017-09-28 00:00:00","2017-09-28 00:00:00",20,20,2,,103,30
PAL-RSB2,"Low Stock","2017-09-28 00:00:00","2017-09-28 00:00:00",20,20,2,,108,30
"PAL-RS Readers (pack","Low Stock","2017-09-28 00:00:00","2017-09-28 00:00:00",20,20,2,,60,100
NC-GS-H,"Low Stock","2017-09-28 00:00:00","2017-09-28 00:00:00",30,30,40,,352,17
"SIM Tabs","Low Stock","2017-09-29 00:00:00","2017-09-28 00:00:00",37,37,5,"This amount matches up with binders on hand.",5,250
AFF-S,Stock,"2017-09-29 00:00:00","2017-09-28 00:00:00",250,250,10,,169,30
AFF-TB,"Low Stock","2017-09-29 00:00:00","2017-09-28 00:00:00",30,30,9,,82,30
